Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Asia,Western Asia,Jordan,jordan,102.22,95.38,91.19,94.93,96.63,101.12,109.19,102.76,98.05,77.58,73.88,69.72,62.56,58.75,60.85,55.81,50.92,48.84,49.78,51.81,53.91,54.33,54.09,53.69,54.01,57,61.38,65.22,67.53,69.28,71.13
Asia,Central Asia,Kazakhstan,kazakhstan,69.18,61.83,72.62,79.51,75.13,67.45,62.79,60.7,59.64,58.53,52.59,47.72,46.12,49.52,52.91,52.19,50.08,48.67,49.16,51.11,53.19,54.68,53.49,51.13,50.34,52.9,55.81,57.65,58.17,58.09,58.77
Africa,Eastern Africa,Kenya,kenya,77.61,87.38,100.46,108.31,110.56,112.31,112.77,111.89,106.93,96.46,88.41,83.46,82.42,80.38,76.21,71.15,67.11,64.27,62.39,60.95,59.79,58.53,56.87,55.49,54.94,54.89,54.91,54.99,55.27,55.92,56.97
Asia,Western Asia,Kuwait,kuwait,64.06,62.9,60.58,64.3,84.05,88.23,70.95,61.27,57.39,41.24,40.45,40.43,37.65,36.96,37.42,37.2,35.71,35.24,35.28,38.37,43.8,47.09,48.73,50.19,51.28,53.27,56.39,59.84,62.79,65.14,67.29
Asia,Central Asia,Kyrgyzstan,kyrgyzstan,58.92,60.31,76.8,91.81,91.91,84.51,75.11,73.05,74.13,75.46,67.92,58.43,52.62,53.92,58.54,59.37,55.72,51.32,49.62,50.03,52.33,55.13,54.72,52.04,49.81,50.78,54.38,57.24,58.27,57.89,57.71
Asia,South-Eastern Asia,Lao People's Democratic Republic,lao-peoples-democratic-republic,74.16,77.83,81,82.39,82.67,84.02,91.9,92.28,91.37,92.14,89.04,78.97,68.08,61.86,60.32,56.03,51.85,48.21,46.03,45.36,46.03,48.37,52.25,55.45,57.06,60.44,64.03,67.74,71,73.49,75.53
Europe,Northern Europe,Latvia,latvia,57.49,52.37,48.85,49.71,50.64,51.06,50.3,49.29,49.88,52.35,49.01,46.89,48.21,51.74,55.3,58.39,59.52,58.67,59.24,61.15,65.77,71.38,71.94,66.71,63.31,63.33,65.39,68.18,69.73,69.11,67.66
Asia,Western Asia,Lebanon,lebanon,70.94,79.4,90.7,95.73,88.48,80.93,80.01,72.21,66.78,60.81,55.63,54.73,47.4,39.42,42.07,45.39,48.62,50.62,52.1,55.99,64.12,74.9,85.6,91.9,93.98,92.12,92.18,93.58,94.84,95.4,94.86
Africa,Southern Africa,Lesotho,lesotho,82.27,86.11,89.84,91.44,93.09,94.8,93.81,94.73,92.94,86.57,84.31,79.54,72.17,66.1,63.83,61.24,56.54,51.47,47.65,45.89,45.87,46.4,47.08,48.02,48.67,49.61,51.23,53.09,54.82,56.29,57.62
Africa,Western Africa,Liberia,liberia,80.14,78.26,78.01,82.03,84.91,87.82,90.69,92.92,92.33,88.87,86.32,86.36,86.63,82.87,77.46,72.61,69.01,66.16,63.58,61.03,58.68,56.52,54.75,53.84,53.55,53.38,53.22,53.2,53.45,54.02,54.85
Africa,Northern Africa,Libya,libya,78.41,82.38,83.12,88.65,94.31,97.22,96.07,89.29,82.16,70.73,59.24,53.58,51.56,52.33,49.66,45.88,43.08,42.4,44.62,49.47,55.14,58.83,60.99,62.4,65.64,71.05,77.03,81.93,84.49,84.99,84.9
Europe,Northern Europe,Lithuania,lithuania,58.08,55.71,54.05,56.96,59.16,57.34,53.08,49.69,50.25,51.62,51.06,46.79,44.37,45.27,49.02,53.27,56.4,57.04,57.53,59.35,64.56,71.28,73.96,71.2,66.41,64.91,66.33,69.37,71.73,71.87,70.31
Europe,Western Europe,Luxembourg,luxembourg,42.31,43.32,47.07,51.09,53.29,50.94,47.93,43.84,44.41,47.81,49.3,49.35,46.28,46.57,48.06,51.37,55.56,59.73,62.22,64.04,66.05,67.6,70.27,73.55,76.13,77.6,79.18,80.5,81.88,83.45,84.99
Africa,Eastern Africa,Madagascar,madagascar,70.59,76.52,85.02,93.06,95.67,98.54,98.82,94.95,92.95,91.69,94.06,91.34,86.06,80.33,77.05,74.81,72.24,69.2,66.33,63.89,61.53,59.98,58.84,58.01,57.21,56.52,56.11,56.03,56.2,56.59,57.18
Africa,Eastern Africa,Malawi,malawi,95.17,94.27,94.16,91.37,94.56,97.73,98.71,100.05,94.06,91.37,95.56,96.72,95.64,92.56,88.93,83.05,79.13,74.94,71.19,68.27,65.45,63.25,61.55,59.94,58.52,57.76,56.84,56.19,55.79,55.61,55.63
Asia,South-Eastern Asia,Malaysia,malaysia,85.03,88.42,95.81,98.5,92.53,84.87,74.14,72.33,68.66,65.05,59.13,52.93,48.2,44.94,44.2,46.02,46.86,46.79,46.61,47.37,51.28,56.2,60.85,64.21,66.33,66.68,68.26,70.88,73.85,76.44,78.2
